SampleNumber,LatinName,CommonName,FullClutch,FlipperLength,BodyMass,Sex
293,Pygoscelis antarctica,Chinstrap penguin,Yes,199,3900,Female
294,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3850,Female
295,Pygoscelis antarctica,Chinstrap penguin,Yes,210,4800,Male
296,Pygoscelis antarctica,Chinstrap penguin,No,192,2700,Female
297,Pygoscelis antarctica,Chinstrap penguin,No,205,4500,Male
298,Pygoscelis antarctica,Chinstrap penguin,Yes,210,3950,Male
299,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3650,Female
300,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3550,Male
301,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3500,Female
302,Pygoscelis antarctica,Chinstrap penguin,Yes,196,3675,Female
303,Pygoscelis antarctica,Chinstrap penguin,Yes,201,4450,Male
304,Pygoscelis antarctica,Chinstrap penguin,Yes,190,3400,Female
305,Pygoscelis antarctica,Chinstrap penguin,Yes,212,4300,Male
306,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3250,Male
307,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3675,Female
308,Pygoscelis antarctica,Chinstrap penguin,Yes,199,3325,Female
309,Pygoscelis antarctica,Chinstrap penguin,Yes,201,3950,Male
310,Pygoscelis antarctica,Chinstrap penguin,Yes,193,3600,Female
311,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4050,Male
312,Pygoscelis antarctica,Chinstrap penguin,Yes,187,3350,Female
313,Pygoscelis antarctica,Chinstrap penguin,Yes,197,3450,Male
314,Pygoscelis antarctica,Chinstrap penguin,Yes,191,3250,Female
315,Pygoscelis antarctica,Chinstrap penguin,Yes,203,4050,Male
316,Pygoscelis antarctica,Chinstrap penguin,Yes,202,3800,Male
317,Pygoscelis antarctica,Chinstrap penguin,Yes,194,3525,Female
318,Pygoscelis antarctica,Chinstrap penguin,Yes,189,3650,Female
319,Pygoscelis antarctica,Chinstrap penguin,Yes,195,3650,Female
320,Pygoscelis antarctica,Chinstrap penguin,Yes,207,4000,Male
321,Pygoscelis antarctica,Chinstrap penguin,No,202,3400,Female
322,Pygoscelis antarctica,Chinstrap penguin,No,193,3775,Male
323,Pygoscelis antarctica,Chinstrap penguin,Yes,210,4100,Male
324,Pygoscelis antarctica,Chinstrap penguin,Yes,198,3775,Female
